altura;categoria;descricao;evoluide;habilidade;nome;sexo
0,7 m;Cocoon;The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.;Caterpie;Shed Skin;Metapod;Ambos
1,1 m;Buttlerfly;Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.;Metapod;Compound Eyes;ButterFree;Ambos
0,3 m;Hairy Bug;Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).;;Shield Dust;Weedle;Ambos
0,6 m;Cocoon;Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.;Weedle;Shed Skin;Kakuna;Ambos
1,0 m;Posion Bee;Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.;Kakuna;Swarm;Beedrill;Ambos
1,6 m;Hermit Crab;Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.;Slowpoke;Oblivious, Own Tempo;Slowbro;Ambos
0,3 m;Magnet;Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box.;;Sturdy, Magnet Pull;Magnemite;Desconhecido 
1,0 m;Magnet;Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon.;Magnemite;Sturdy, Magnet Pull;Magneton;Desconhecido 
0,8 m;Wild Duck;Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.;;Keen Eye, Inner Focus;Farfetch'd;Ambos
1,4 m;Twin Bird;Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.;;Run Away, Early Bird;Doduo;Ambos
0,8 m;Bat;Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.;;Inner Focus;Zubat ;Ambos
1,6 m;Bat;Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.;Zubat;Inner Focus;Golbat ;Ambos
0,5 m;Weed;During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.;;Chlorophyll;Oddish ;Ambos
0,8 m;Weed;Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.;Oddish ;Chlorophyll;Gloom ;Ambos
1,2 m;Flower;Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.;Gloom ;Chlorophyll;Vileplume ;Ambos
0,7 m;Mole;Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.;Diglett;Sand Veil, Arena Trap;Dugtrio;Ambos
0,4 m;Scratch Cat;Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.;;Pickup, Technician;Meowth;Ambos
1,0 m;Classy Cat;Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.;Meowth;Technician, Limber;Persian;Ambos
0,8 m;Duck;Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.;;Damp, Cloud Nine;Psyduck;Ambos
